formula,Egap
S5U3,0.1631
H21Li1N7P1S3,3.0832
C1Cu1F1K1O3,0.5403
Cu4O3,0.0611
F6N1Re1,2.5538
Cl6Rb3Y1,5.0531
Hg1Mo1O4,2.2419
Na1O5Te1V1,3.0306
Cu1Hg1I1S1,0.7517
Al1H6I1O4,4.3131
Er1Na1O8S2,5.7456
Ho2Pb3S12Sn3,0.4655
H12O12S2Zn1,5.1797
Ge1I2,1.9843
Ca1Cu1F4,2.7082
Cd1O2,1.419
Bi2Br1Gd1O4,1.2967
Cu3O6Te1,0.6068
Ag1N1O3,2.3493
Ce1P12Ru4,0.3447
C1N1Th1,1.227
Al4H1O14Ta3,3.5159
Au1O1Rb3,0.2744
Ca1Cs1H3,3.1268
Nb1Nd3O7,3.0579
Ga1O6Sb1Sr2,0.7995
Se5U3,0.6409999999999999
I2Pd1Te1,0.6733
Br3Rb1V1,2.396
As2Si1Zn1,1.1355
C2Na2Pt1,0.7065
S3Sc1Y1,1.9929
Br1Ca2N1,2.4246
Cs1O2Sb1,2.3556
F1O2Rb1S1,4.0969
O7P2Pb1Pd1,1.7518
Mn1S4Sc2,1.3742
O8Si2Sr2Ti1,4.343999999999999
Cd2H4O4,1.8521
Ba1K1O4V1,3.9652
Cs2O12Sr1V4,2.6597
F6Fe1Li1Mn1,0.7671
Cu1I1,1.6398
B8La9Na3O27,3.9176
Cd1N2O6,3.451
H10I1K2Na1O10,2.5124
Cs2Mn1S6Te2,1.7416
Cu3O12Sn4Sr1,0.7267
O4P1Sb1,4.01
Ba1C2Ca2F2O6,4.7264
Mg3O8P2,4.697
Co1Se1,0.241
C4Mn1N6,2.2086
Al2Pb1S4,2.6008
Cr2Mn1S4,2.1123
Ho1O4Ta1,4.2955
Be1Cs1F3,5.3516
O7Tb2Ti2,3.2993
Al2Co1O4,5.4135
As2H6O11U1,3.4210000000000003
As1Li3S3,2.2817
Cr2Mn1O4,3.2627
Ce1O1Sb1Zn1,0.2091
Al5C3N1,1.4366
P1Ru1S1,0.667
B1Fe3O5,0.5244
B2Ba2Cd1O6,3.1241
C4K2N4Pd1,4.4275
Li1Mn1O2,3.2871
Ga2Sr1Te4,0.4035
Mo1N4Sr3,2.0393
Br2C4Fe1Hg2O4,2.967
Cl4Co1Rb2,4.0106
Cl5Co1Tl3,2.7726
B4O11Sc2Sr2,4.6433
H1K2N1O6S2,5.0999
Ge1K1S4Tb1,2.4196
Na2O7W2,2.2195
Al1Cu1O2,2.015
Cl4Ge1,4.0077
Li6Mo1N4,2.7071
O7Rb6Si2,3.1444
K2Mn1Se4Sn1,1.2098
B7Cl1Mg3O13,5.9191
Cl1O3Pb1V1,2.2987
Cs1Hg1Se3Y1,1.3982
Fe2Rb6S6,1.4243
Ba3Fe3Nb1O14Si2,2.4653
As2O7Rb1Sc1,3.5115
Ge5Mg14O24,3.3866
Hf1Se2,0.5051
B3Mg5O12Ta1,3.9645
K1O3Sb1,1.1259
Cl1O4P1Sn2,2.5822
Be4H2O9Si2,5.7582
Ga2O4Sr1,3.1547
Cl2Cu1,0.8284
Se1Zn1,1.6977
Li1O4P1Pb1,3.5189
Dy2O11Te4,3.2351
Cu1La1O1S1,2.0312
Br3C2H8Hg1N1,2.5314
Al1K2Li1P2,1.9014
Ba1H2O8S2,5.5827
Br5Ru1Y4,0.2364
Ga1Li3N2,2.4745
As2Cd4I3,1.2042
P1S3Zn1,2.2286
Li5O5Sb1,2.9349
O72Si36,5.624
In1S1,1.3221
Ho3O7Ta1,3.6264
Fe2O4Si1,2.3993
Cl6I2,1.7346
Co1O2,1.8677
C3Lu2N6,3.7502
Mg2Mo3O12Tl2,3.8357
As1O1Y1Zn1,1.1875
Ba1Ca2N12P6,4.0771
Br1In1O1,2.1235
Mn1Rb2Se2,1.8565
As1O3Sb1,0.9374
Al5O12Yb3,0.6187
Gd1Ge1Na1O4,3.4817
Cl3Gd2,0.2305
Bi4I2Ru1,0.534
O8Sr3V2,3.6651
Cl3Cr1,2.5238
Co1Ge1O3,1.9844
C7Cr1F2H1N1O5,3.5322
